Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
20,b2b marine,156.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
21,Mon SOS,156.650000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
22,SOS marine,156.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,10.0W,,,,,
23,22A marine,157.100000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
24,6 marine,156.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
25,67 marine,156.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
26,68 marine,156.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
27,69 marine,156.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
28,71 marine,156.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
29,72 marine,156.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
30,73 marine,156.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
31,74 marine,156.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
32,77 marine,156.875000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
33,78A marine,156.925000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
34,79A marine,156.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
35,80A marine,157.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,

40,70cm C,446.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
41,2m C,146.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
42,news h1,450.512500,off,0.000000,,88.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
43,news h2,450.612500,off,0.000000,,88.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,10.0W,,,,,
